primary_stud_code,company_name,parent_company,address,city,state,zip,phone_fax,assigned,notes
1,GENEX Cooperative,Genex,100 MBC Drive/ P.O. Box 469,Shawano,WI,54166,"715.526.2141, Fax:715.526.3219",Assigned 01/01/1995; Marketing only beginning 02/17/2019,"Formerly assigned to Noba, Inc./21st Century Genetics/GENEX Cooperative - subsidiaries of CRI"
2,"Select Sires, Inc.",Select Sires,11740 US 42 North,Plain City,OH,43064,"614.873.4683, Fax:614.873.5751",Re-activated 03/19/2020; Marketing only,Formerly assigned to COBA/SS 1972-01/02/2008
3,GENEX Cooperative,Genex,522 Sheffield Road,Ithaca,NY,14850,"607.272.2011, Fax:607.272.3928",Assigned 12/15/1973,Formerly assigned to Eastern AI Cooperative
4,"Northstar/Select Sires, Inc.",Select Sires,P.O. Box 23157,East Lansing,MI,48909-3157,517.351.3180,Assigned ; End Date 12/27/2005,Formerly assigned to MABC/SS
5,KABA/Select Sires,Select Sires,1930 Herr Lane,Louisville,KY,40222,"502.425.1868, Fax:502.425.2317",Assigned ; End Date 05/18/2006,
6,"Select Sires MidAmerica, Inc.",Select Sires,41 W 394 US Highway 20,Hampshire,IL,60140,"847.464.5281, Fax:847.464.4088",Assigned,Formerly known as Prairie State Select Sires; Formerly assigned to Illinois Breeding Cooperative
7,"Select Sires, Inc.",Select Sires,11740 U.S. 42 North,Plain City,OH,43064,"614.873.4683, Fax:614.873.6073",Assigned 12/12/1973,"Formerly assigned to Armour & Company, BCI"
8,GENEX Cooperative,Genex,P.O. Box 5518,Ithaca,NY,14852,"607.272.2011, Fax:607.272.3928",Assigned 11/01/1985; End Date 05/18/2006,Formerly assigned to Federated Genetics; Louisiana Animal Breeders Cooperative
9,"Select Sires, Inc.",Select Sires,11740 U.S. 42 North,Plain City,OH,43064,"614.873.4683, Fax:614.873.6073",Marketing Only - 01/01/2018,"Formerly assigned to Sire Power, Inc. 11/03/1969; Maryland WV Bull Stud; Select Sire Power, Inc. 06/30/2000 through 01/01/2017"
10,Mississippi Animal Breeders Cooperative,,Drawer BA,State College,MS,39762,,Assigned ; End Date 05/18/2006,
11,"Alta Genetics USA, Inc.",Alta Genetics,"P.O. Box 437, N8452 Airport Road",Watertown,WI,53094,"920.261.5065, Fax:920.262.8022",Assigned 11/01/1972,Formerly assigned to Landmark Genetics; Carnation/Genetics
12,Cache Valley Breeding Association,Select Sires,833 West 400 North,Logan,UT,84321,801.752.2022,Assigned ; End Date 05/18/2006,
13,All West Breeders,,P.O. Box 507,Burlington,WA,98233,"360.757.6093, Fax:360.757.7808",Assigned ; End Date 01/03/2006,
14,Select Sires/AG,Select Sires,E6975 Unseth Road,Westby,WI,54667,"608.356.8357, Fax:608.356.4387",Assigned,"Formerly Tri-State Breeders Cooperative, Currently owned by Select Sires"
15,GENEX Cooperative,Genex,1575 Apollo Drive,Lancaster,PA,17601,717.569.0413,Assigned ; End Date 05-18-2006,Formerly Atlantic Breeders Service
16,Kansas Artificial Breeding Service Unit,,3171 Tuttle Creek Blvd.- KSU,Manhattan,KS,66502,"785-539-3554, Fax:785.537.4265",Assigned,
17,Minnesota Valley Breeders Association,,P.O. Box 500,New Prague,MN,56071,,Assigned ; End Date 05/18/2006,
18,East Tennessee Artificial Breeders Association,,Route 10 Tipton Station Road,Knoxville,TN,37020,615.577.4892,Assigned ; End Date 05/18/2006,
19,Virginia/North Carolina/Select Sires,Select Sires,P.O. Box 370,Rocky Mount,VA,42151,703.483.5123,Assigned 11/02/1965; End Date 05/18/2006,Formerly Virginia Animal Breeding Services
20,Union Regionale des Cooperaties d'Elevage de I'Ouest (URECO),,50 rue Brizeux,Loudeac,,FRANCE,33.96 28 25 83,Assigned 5/18/1995; End Date 10/13/2010,"Formerly assigned to Tennessee Artificial Breeding Assoc, Franklin, TN 11/16/1965"
21,GENEX Cooperative,Genex,P.O. Box 469,Shawano,WI,54166,"715.526.2141, Fax:715.526.3219",Assigned 5/09/1967,Formerly assigned to 21st Century Genetics; Midwest Breeders Cooperative
22,Fry's Reproductive Center,,191 Fry Road,Rose Bud,AR,72137,"501.556.5080, Fax:501.556.4771",Assigned 11/15/1987; End Date 05/18/2006,Formerly assigned to Norwood Breeding Center; Codding-Noba
23,Excelsior Farms,,238 Sierra Bonita,Bishop,CA,93514,"760.873.4141, Fax:760.872.7028",Assigned 01/29/1969; End Date 02/13/2006,
24,"Genetics, Inc.",,,Hughson,CA,,209.883.4001,Assigned 08/15/1968; End Date 03/21/2006,Sold to Carnation 11/01/1972
25,"Sire Power, Inc. Custom Service",Select Sires,21 Sire Power Drive,Tunkhannock,PA,18657,,Assigned 03/20/1995; End Date 01/13/2006,"Formerly assigned to NEBA, Route 2, Tunkhannock, PA 18657 09/16/1968"
26,East Central Breeders Assn.,,Box 191,Waupun,WI,53963,414.324.3505,Assigned 09/22/1969; End Date 05/18/2006,
27,"Herdsman, Inc.",,Box 391,Putnam,CT,06260,,Assigned 11/07/1969; End Date 12/30/2005,
28,"Alta Genetics, Canadian AI Division",,1-263090 Range Road 11,Rocky View County,AB,T4B 2T3 CANADA,"403.226.0666, Fax:403.226.4259",Assigned 05/04/1970,"Formerly named to Western Breeders Service, Ltd. 05/27/1970"
29,ABS Global,ABS Global,"1525 River Road, P.O. Box 459",Deforest,WI,53532,"608.846.3721, Fax:608.846.6459",Assigned 05/27/1970,Formerly assigned to American Breeders Service
30,"Genetic Engineering, Inc.",,P.O. Box 33554,Northglenn,CO,80233,303.457.1311,Assigned 11/12/1980; End Date 05/18/2006,Formerly assigned to Western Breeders 08/12/1970
