primary_stud_code,company_name,parent_company,address,city,state,zip,phone_fax,assigned,end Date,ending_date,notes,assigned_date
1,GENEX Cooperative,Genex,100 MBC Drive/ P.O. Box 469,Shawano,WI,54166,"715.526.2141, Fax:715.526.3219",Assigned 01/01/1995; Marketing only beginning 02/17/2019,NA,NA,"Formerly assigned to Noba, Inc./21st Century Genetics/GENEX Cooperative - subsidiaries of CRI",1995-01-01T00:00:00Z
2,"Select Sires, Inc.",Select Sires,11740 US 42 North,Plain City,OH,43064,"614.873.4683, Fax:614.873.5751",Re-activated 03/19/2020; Marketing only,NA,NA,Formerly assigned to COBA/SS 1972-01/02/2008,2020-03-19T00:00:00Z
3,GENEX Cooperative,Genex,522 Sheffield Road,Ithaca,NY,14850,"607.272.2011, Fax:607.272.3928",Assigned 12/15/1973,NA,NA,Formerly assigned to Eastern AI Cooperative,1973-12-15T00:00:00Z
4,"Northstar/Select Sires, Inc.",Select Sires,P.O. Box 23157,East Lansing,MI,48909-3157,517.351.3180,Assigned,End Date 12/27/2005,2005-12-27,Formerly assigned to MABC/SS,1995-01-01T00:00:00Z
5,KABA/Select Sires,Select Sires,1930 Herr Lane,Louisville,KY,40222,"502.425.1868, Fax:502.425.2317",Assigned,End Date 05/18/2006,2006-05-18,NA,2020-03-19T00:00:00Z
6,"Select Sires MidAmerica, Inc.",Select Sires,41 W 394 US Highway 20,Hampshire,IL,60140,"847.464.5281, Fax:847.464.4088",Assigned,NA,NA,Formerly known as Prairie State Select Sires; Formerly assigned to Illinois Breeding Cooperative,1973-12-15T00:00:00Z
7,"Select Sires, Inc.",Select Sires,11740 U.S. 42 North,Plain City,OH,43064,"614.873.4683, Fax:614.873.6073",Assigned 12/12/1973,NA,NA,"Formerly assigned to Armour & Company, BCI",1973-12-12T00:00:00Z
8,GENEX Cooperative,Genex,P.O. Box 5518,Ithaca,NY,14852,"607.272.2011, Fax:607.272.3928",Assigned 11/01/1985,End Date 05/18/2006,2006-05-18,Formerly assigned to Federated Genetics; Louisiana Animal Breeders Cooperative,1985-11-01T00:00:00Z
9,"Select Sires, Inc.",Select Sires,11740 U.S. 42 North,Plain City,OH,43064,"614.873.4683, Fax:614.873.6073",Marketing Only - 01/01/2018,NA,NA,"Formerly assigned to Sire Power, Inc. 11/03/1969; Maryland WV Bull Stud; Select Sire Power, Inc. 06/30/2000 through 01/01/2017",2018-01-01T00:00:00Z
10,Mississippi Animal Breeders Cooperative,NA,Drawer BA,State College,MS,39762,NA,Assigned,End Date 05/18/2006,2006-05-18,NA,NA
11,"Alta Genetics USA, Inc.",Alta Genetics,"P.O. Box 437, N8452 Airport Road",Watertown,WI,53094,"920.261.5065, Fax:920.262.8022",Assigned 11/01/1972,NA,NA,Formerly assigned to Landmark Genetics; Carnation/Genetics,1972-11-01T00:00:00Z
12,Cache Valley Breeding Association,Select Sires,833 West 400 North,Logan,UT,84321,801.752.2022,Assigned,End Date 05/18/2006,2006-05-18,NA,NA
13,All West Breeders,NA,P.O. Box 507,Burlington,WA,98233,"360.757.6093, Fax:360.757.7808",Assigned,; End Date 01/03/2006,2006-01-03,NA,NA
14,Select Sires/AG,Select Sires,E6975 Unseth Road,Westby,WI,54667,"608.356.8357, Fax:608.356.4387",Assigned,NA,NA,"Formerly Tri-State Breeders Cooperative, Currently owned by Select Sires",1973-12-12T00:00:00Z
15,GENEX Cooperative,Genex,1575 Apollo Drive,Lancaster,PA,17601,717.569.0413,Assigned,End Date 05/18/2006,2006-05-18,Formerly Atlantic Breeders Service,1985-11-01T00:00:00Z
16,Kansas Artificial Breeding Service Unit,NA,3171 Tuttle Creek Blvd.- KSU,Manhattan,KS,66502,"785-539-3554, Fax:785.537.4265",Assigned,NA,NA,NA,NA
17,Minnesota Valley Breeders Association,NA,P.O. Box 500,New Prague,MN,56071,NA,Assigned,End Date 05/18/2006,2006-05-18,NA,NA
18,East Tennessee Artificial Breeders Association,NA,Route 10 Tipton Station Road,Knoxville,TN,37020,615.577.4892,Assigned,End Date 05/18/2006,2006-05-18,NA,1972-11-01T00:00:00Z
19,Virginia/North Carolina/Select Sires,Select Sires,P.O. Box 370,Rocky Mount,VA,42151,703.483.5123,Assigned 11/02/1965,End Date 05/18/2006,2006-05-18,Formerly Virginia Animal Breeding Services,1965-11-02T00:00:00Z
20,Union Regionale des Cooperaties d'Elevage de I'Ouest (URECO),NA,50 rue Brizeux,Loudeac,NA,FRANCE,33.96 28 25 83,Assigned 5/18/1995,End Date 10/13/2010,2010-10-13,"Formerly assigned to Tennessee Artificial Breeding Assoc, Franklin, TN 11/16/1965",NA
21,GENEX Cooperative,Genex,P.O. Box 469,Shawano,WI,54166,"715.526.2141, Fax:715.526.3219",Assigned 5/09/1967,NA,NA,Formerly assigned to 21st Century Genetics; Midwest Breeders Cooperative,NA
22,Fry's Reproductive Center,NA,191 Fry Road,Rose Bud,AR,72137,"501.556.5080, Fax:501.556.4771",Assigned 11/15/1987,End Date 05/18/2006,2006-05-18,Formerly assigned to Norwood Breeding Center; Codding-Noba,1987-11-15T00:00:00Z
23,Excelsior Farms,NA,238 Sierra Bonita,Bishop,CA,93514,"760.873.4141, Fax:760.872.7028",Assigned 01/29/1969,End Date 02/13/2006,2006-02-13,NA,1969-01-29T00:00:00Z
24,"Genetics, Inc.",NA,NA,Hughson,CA,NA,209.883.4001,Assigned 08/15/1968,End Date 03/21/2006,2006-03-21,Sold to Carnation 11/01/1972,1968-08-15T00:00:00Z
25,"Sire Power, Inc. Custom Service",Select Sires,21 Sire Power Drive,Tunkhannock,PA,18657,NA,Assigned 03/20/1995,End Date 01/13/2006,2006-01-13,"Formerly assigned to NEBA, Route 2, Tunkhannock, PA 18657 09/16/1968",1995-03-20T00:00:00Z
26,East Central Breeders Assn.,NA,Box 191,Waupun,WI,53963,414.324.3505,Assigned 09/22/1969,End Date 05/18/2006,2006-05-18,NA,1969-09-22T00:00:00Z
27,"Herdsman, Inc.",NA,Box 391,Putnam,CT,6260,NA,Assigned 11/07/1969,End Date 12/30/2005,2005-12-30,NA,1969-11-07T00:00:00Z
28,"Alta Genetics, Canadian AI Division",NA,1-263090 Range Road 11,Rocky View County,AB,T4B 2T3 CANADA,"403.226.0666, Fax:403.226.4259",Assigned 05/04/1970,NA,NA,"Formerly named to Western Breeders Service, Ltd. 05/27/1970",1970-05-04T00:00:00Z
29,ABS Global,ABS Global,"1525 River Road, P.O. Box 459",Deforest,WI,53532,"608.846.3721, Fax:608.846.6459",Assigned 05/27/1970,NA,NA,Formerly assigned to American Breeders Service,1970-05-27T00:00:00Z
