reg_id,sire_id,weight,gen_num,reg_name,country,breed,naab_code,status,controller_name,controller_number,dob,yob,aaa_codes,genetic_codes,beta_casein,kappa_casein,beta_lactaglobulin,haplotypes,num_dtrs,num_herds,reliability,pta_milk,pta_fat_lb,pta_protein_lb,pta_scs,pta_pl,pta_dpr,pta_hcr,pta_ccr,pta_scr,pta_liv,pta_type,pta_gest_length,pta_heifer_liv,pta_efcalving,pta_mastitis,pta_metritis,pta_disp_abomasum,pta_ketosis,pta_r_placenta,pta_rear_legs_rear,pta_foot_leg_score,pta_teat_rear_place,pta_rump_angle,pta_thurl_width,pta_rear_legs_side,pta_foot_angle,pta_fore_udder,pta_rear_udder_height,pta_rear_udder_width,pta_udder_cleft,pta_udder_depth,pta_teat_front_place,pta_teat_length,pta_milk_fever,pta_stature,pta_strength,pta_mobility,pta_milk_speed,pta_dairy_form,pta_body_depth,sire_ce,daughter_ce,sire_sb,daughter_sb,udder_composite,NM,PTI,CM,FM,GM,GTPI,sire_name,mgs_name,status_alt,treat,inbreeding,company_name,parent_company,address,city,state,zip,phone_fax,notes,assigned_date,end_date,NM_unadj,quarter,qob
HOUSA000069207598,HOUSA000122358313,0.25,2,WELCOME GARROLD-ET,USA,HO,007HO11035,I,Select Sires,7,2010-04-18,2010,NA,TR TV TL TD,A1A2,BB,AB,"HH1T, HH2T, HH3T, HH4T, HH5T, HH6T, HCD-T",11,7,0.88,-471,-2,2,2.79,1.5,2.5,NA,1.6,NA,0.2,0.09,-0.2,0.5,2.5,1.9,-0.2,-0.6,0.3,-0.3,1.23,0.58,-0.07,-1.33,-0.13,-0.52,0.77,0.99,-0.65,-0.61,-0.64,1.22,0.43,-0.86,-0.1,-0.75,0,NA,NA,-1.52,-0.75,2.2,3.2,4.9,7.2,0.24,111,NA,125,29,148,2126,MACOMBER O-MAN BOGART,MASCOL-ET,Inactive,1,6.14,"Select Sires, Inc.",Select Sires,11740 U.S. 42 North,Plain City,OH,43064,"614.873.4683, Fax:614.873.6073","Formerly assigned to Armour & Company, BCI",1973-12-12,NA,NA,2,2010-2
HOUSA000069207598,HOUSA000122358313,0.25,2,WELCOME GARROLD-ET,USA,HO,007HO11035,I,Select Sires,7,2010-04-18,2010,NA,TR TV TL TD,A1A2,BB,AB,"HH1T, HH2T, HH3T, HH4T, HH5T, HH6T, HCD-T",11,7,0.88,-471,-2,2,2.79,1.5,2.5,NA,1.6,NA,0.2,0.09,-0.2,0.5,2.5,1.9,-0.2,-0.6,0.3,-0.3,1.23,0.58,-0.07,-1.33,-0.13,-0.52,0.77,0.99,-0.65,-0.61,-0.64,1.22,0.43,-0.86,-0.1,-0.75,0,NA,NA,-1.52,-0.75,2.2,3.2,4.9,7.2,0.24,111,NA,125,29,148,2126,MACOMBER O-MAN BOGART,MASCOL-ET,Inactive,1,6.14,"Select Sires, Inc.",Select Sires,11740 U.S. 42 North,Plain City,OH,43064,"614.873.4683, Fax:614.873.6073","Formerly assigned to Armour & Company, BCI",1973-12-12,NA,NA,2,2010-2
HOITA024990074949,HOUSA000123066734,0.5,1,CHEMELLO SELVINO,ITA,HO,210HO00134,I,Select Sires - AG,14,2004-11-12,2004,NA,TV TL TY,-,-,-,"HH1T, HH2T, HH3T, HH4T, HH5T, HH6T, HCD-C",8055,2517,0.94,622,29,19,2.97,-2.8,-4.5,-2,-2.6,NA,-3.3,0.13,0.3,0.5,-0.5,-0.4,-0.5,-0.5,-0.3,-0.1,0.97,0.83,0.5,-0.6,-0.13,-0.79,0.62,0.36,0.69,0.44,1.49,0.14,-0.18,1.09,-0.1,0.03,0.16,NA,NA,-0.1,0,2.3,3.1,6,5.4,0.46,52,NA,53,49,3,2034,HARTLINE TITANIC-ET,JOCKO BESN,Inactive,1,6.25,Select Sires/AG,Select Sires,E6975 Unseth Road,Westby,WI,54667,"608.356.8357, Fax:608.356.4387","Formerly Tri-State Breeders Cooperative, Currently owned by Select Sires",NA,NA,NA,4,2004-4
HOITA024990074949,HOUSA000123066734,0.5,1,CHEMELLO SELVINO,ITA,HO,210HO00134,I,Select Sires - AG,14,2004-11-12,2004,NA,TV TL TY,-,-,-,"HH1T, HH2T, HH3T, HH4T, HH5T, HH6T, HCD-C",8055,2517,0.94,622,29,19,2.97,-2.8,-4.5,-2,-2.6,NA,-3.3,0.13,0.3,0.5,-0.5,-0.4,-0.5,-0.5,-0.3,-0.1,0.97,0.83,0.5,-0.6,-0.13,-0.79,0.62,0.36,0.69,0.44,1.49,0.14,-0.18,1.09,-0.1,0.03,0.16,NA,NA,-0.1,0,2.3,3.1,6,5.4,0.46,52,NA,53,49,3,2034,HARTLINE TITANIC-ET,JOCKO BESN,Inactive,1,6.25,Select Sires/AG,Select Sires,E6975 Unseth Road,Westby,WI,54667,"608.356.8357, Fax:608.356.4387","Formerly Tri-State Breeders Cooperative, Currently owned by Select Sires",NA,NA,NA,4,2004-4
HOBEL000119784595,HOCAN000010705608,0.5,1,DELTA BRILLIANT,BEL,HO,097HO40040,I,CRV USA,97,2008-12-04,2008,NA,-,-,-,-,,6327,2671,0.84,-43,15,8,3.04,-2.5,-1.8,-0.9,-3.9,NA,-3,0.91,0.4,0.2,-1,-1.7,-0.4,-0.9,-0.4,-0.3,0.74,0.59,0.13,-0.42,0.43,0.36,-0.67,-0.04,1.56,1.53,0.22,-1.24,0.65,-0.65,0,0.45,1.45,NA,NA,0.73,1.98,2.3,2.1,6.2,6.7,0.37,-117,NA,-113,-159,-139,1969,BRAEDALE GOLDWYN,O-BEE MANFRED JUSTICE-ET,Inactive,1,4.72,CRV Holding B.V.,CRV Holding,P.O. Box 454,Arnhem 6800 AL,NA,THE NETHERLANDS,"31 26 3898522, Fax:31 26 3898591",NA,1997-09-22,NA,NA,4,2008-4
HONLD000524213982,HOCAN000010705608,0.5,1,NEWHOUSE GOFAST,NLD,HO,097HO09919,I,CRV USA,97,2008-07-31,2008,NA,-,-,-,-,,16080,4923,0.88,-717,-22,-12,3.03,0.5,2.6,2.3,0.8,NA,-2.6,0.2,-0.4,0.3,-0.5,-0.5,-0.6,-0.9,-0.1,-0.4,-0.42,0.59,-0.26,1.19,-0.98,-1.93,-0.27,1,0.85,0.69,-0.28,0.83,0.06,-1.1,-0.1,0.22,-0.42,NA,NA,-1.03,-0.62,1.8,3.6,5.3,10.3,0.6,-153,NA,-148,-196,-99,1863,BRAEDALE GOLDWYN,O-BEE MANFRED JUSTICE-ET,Inactive,1,4.3,CRV Holding B.V.,CRV Holding,P.O. Box 454,Arnhem 6800 AL,NA,THE NETHERLANDS,"31 26 3898522, Fax:31 26 3898591",NA,1997-09-22,NA,NA,3,2008-3
HONLD000767661874,HOUSA000122358313,0.125,3,MR RIVERBOY,NLD,HO,097HO41349,I,CRV USA,97,2014-01-20,2014,NA,RC TV TL TY,-,-,-,"HH1T, HH2T, HH3T, HH4T, HH5T, HH6T, HCD-T, HHR-C",770,412,0.92,-391,40,6,2.62,3,0.2,0.9,-1.4,NA,3,-0.49,-0.6,0.3,0.6,3.2,0.9,0.6,1.5,0,0.39,0.01,-0.6,-0.79,-1.7,-0.46,-0.71,0.43,0.05,0.18,-0.39,0.27,-0.52,0.76,0.2,-1.25,-0.5,NA,NA,-1.07,-1.02,2,3,5.6,8.6,0.34,390,NA,408,295,352,2293,GEN-I-BEQ AIKMAN-ET,ENSENADA TABOO PLANET-ET,Inactive,1,8.89,CRV Holding B.V.,CRV Holding,P.O. Box 454,Arnhem 6800 AL,NA,THE NETHERLANDS,"31 26 3898522, Fax:31 26 3898591",NA,1997-09-22,NA,NA,1,2014-1
WWNLD000429133972,HOAUS000000930377,0.5,1,BEUKENHOF 346 IDEAL,NLD,WW,097HO07280,I,CRV USA,97,2005-03-19,2005,NA,TV TL,-,-,-,,6741,2849,0.86,-928,4,5,3.11,0.3,0.1,-2.3,1.1,NA,0.5,-0.64,1.9,NA,-4.2,NA,NA,NA,NA,NA,-0.03,NA,-0.39,0.89,0.03,-0.12,-0.73,-0.22,-1.28,-1.19,-0.95,-0.03,-0.67,-0.79,NA,-0.84,-0.28,NA,NA,-0.36,-0.03,2.9,3.3,NA,NA,0,38,NA,55,-111,42,NA,LADINO PARK TALENT-IMP-ET,LIGHTNING,Inactive,1,NA,CRV Holding B.V.,CRV Holding,P.O. Box 454,Arnhem 6800 AL,NA,THE NETHERLANDS,"31 26 3898522, Fax:31 26 3898591",NA,1997-09-22,NA,132,1,2005-1
HONLD000707841810,HOCAN000010705608,0.25,2,MARS YORICK-ET,NLD,HO,151HO40132,I,ST/TWG,151,2010-07-09,2010,NA,-,-,-,-,"HH1T, HH2T, HH3T, HH4T, HH5T, HH6T, HCD-T",5501,2194,0.94,-252,37,-9,3,-4.2,-4.8,-0.7,-6.3,NA,-5.2,2.38,0.8,0.7,-3.3,-0.5,-1.8,-1.2,-0.7,-0.2,1.83,1.83,1.32,0,2.68,-0.58,2.49,0.91,1.92,2.33,1.93,0.61,0.38,1.08,-0.4,3.9,2.64,NA,NA,2.93,3.3,2.8,3.8,7.4,10.4,0.61,-294,NA,-295,-287,-370,1883,MAPLE-DOWNS-I G W ATWOOD-ET,PICSTON SHOTTLE-ET,Inactive,1,9.23,"Inguran, LLC, dba STgenetics-FDL",STgenetics,W7652 Hwy 151 South,Fond du Lac,WI,54937,"920.921.6029, Fax:920.286.6057","Formerly TransWorld Genetics;Complete Sire Services, Inc.",1988-05-02,NA,825,3,2010-3
HOCAN000012380082,HOUSA000060597003,0.0625,4,PROGENESIS QUALITY-ET,CAN,HO,200HO10769,I,Semex Alliance,200,2015-11-25,2015,NA,TR TV TL TY TD,-,-,-,"HH1T, HH2T, HH3T, HH4T, HH5T, HH6T, HCD-T",36,34,0.88,-73,-9,10,3.35,-3.9,-4.1,-2.1,-5.1,NA,-6.8,2.49,-2.7,0.6,-2.9,-1.2,-1.5,-0.6,0.1,-0.8,1.06,0.84,1.28,-0.3,1.54,-0.19,1.35,2.74,2.72,2.76,2.27,3.41,1.5,-2.98,-0.1,3.48,1.85,NA,NA,1.96,2.25,2.4,2.8,7.1,6.2,1.93,-343,NA,-343,-389,-399,1844,POL BUTTE MC BEEMER-ET,MR LOOKOUT PESCE ALTA5G-ET,Inactive,1,11.04,Semex Alliance,Semex Alliance,5653 Highway 6 North,Guelph,ON,N1G 3Z2 CANADA,"519.821.5060, Fax:519.821.9606","Partners include BCAI, CIAQ, EBI and Gencor",1997-05-28,NA,NA,4,2015-4
