reg_id,inbreeding
BSUSA000000162456,4.23
BSUSA000000169731,2.93
HOFRA002298044708,7.28
HOITA003804028864,3.49
HOUSA000001664500,1.83
HOUSA000017385460,4.1
BSUSA000000188216,6.28
GUUSA000000591366,2.54
GUUSA000000592763,0.2
HOUSA000001329249,1.06
HOUSA000001367353,7.88
HOUSA000001504551,0.25
HOUSA000001806956,8.54
HOUSA000002180030,6.29
HOUSA000002247442,1.54
AYUSA000000137306,14.06
HOUSA000001282262,13.59
HOUSA000001290716,0.06
HOUSA000001349319,8.46
HOUSA000001368763,0.24
HOUSA000001398510,0.79
HOUSA000001404202,1.85
HOUSA000001459339,0.67
HOUSA000001544708,1.47
HOUSA000001582517,0.53
JEUSA000000617358,0
JEUSA000000628290,0
HOUSA000001263007,11.31
HOUSA000001290182,0.99
GUUSA000000591225,1.62
HOUSA000001392559,3.57
HOUSA000001416897,4.58
HOUSA000001552849,0.22
HOUSA000001553051,1.66
HOUSA000001584578,1.51
HOUSA000001594583,0.21
HOUSA000001629467,1.78
HOUSA000002000063,7.32
JEUSA000000614850,3.12
JEUSA000000632449,0.2
HOUSA000001279868,29.3
HOUSA000001292915,0.54
HOUSA000001383247,1.09
HOUSA000001724404,0.57
BSUSA000000183096,4.73
HOUSA000001379208,0.39
HOUSA000001380968,5.21
HOUSA000001508210,0.74
BSUSA000000171191,1.32
BSUSA000000187432,2.4
HOUSA000001483713,0.22
HOUSA000001571012,0.43
HOUSA000001600222,0.8
HOUSA000001753897,3.64
HOUSA000001785939,1.88
HOUSA000128291087,5.73
HOUSA000001277619,6.67
HOUSA000001283309,6.77
HOUSA000001297600,0.31
HOUSA000001339836,3.21
HOUSA000001508069,3.21
HOUSA000001320310,0.1
BSUSA000000171713,1.9
BSUSA000000173123,2.82
GUUSA000000591235,0
HOUSA000001365341,1.72
HOUSA000001585609,3.28
JEUSA000000618375,0
HOUSA000001098656,0.45
HOUSA000001817607,2.79
BSUSA000000176943,4.09
BSUSA000000181664,2.89
BSUSA000000184018,2.2
HOAUS000A00009209,6.92
HOUSA000001150469,1.44
HOUSA000001221226,3.04
HOUSA000001239242,5.56
HOUSA000001415806,0.11
HOUSA000001466812,7.36
HOUSA000001493435,1.34
HOUSA000001496750,0.23
HOUSA000001502025,2.08
HOUSA000001508339,0.05
HOUSA000001525369,0.02
HOUSA000001537886,0.21
HOUSA000001556820,0.22
HOUSA000001575285,0.38
HOUSA000001617296,0.2
HOUSA000001634702,0.05
HOUSA000001750102,2.25
HOUSA000002152960,11.4
MSUSA000000410225,0
BSUSA000000156006,7.35
HOCAN000000281821,3.56
HOUSA000001175509,0.84
HOUSA000001199324,6.09
HOUSA000001216957,5.73
HOUSA000001407724,4.47
HOUSA000001417208,1.91
HOUSA000001447395,0.19
HOUSA000001466747,3.82
HOUSA000001483723,0
HOUSA000001553048,1.09
HOUSA000001558140,0.06
