reg_id,inbreeding
HOGBR000000662107,1.36
AYSWE000000099676,1.3
HOISR000000007953,2.3
BSFRA002937068969,2.51
AYFIN000000046952,1.33
BSDEU000948229792,0.61
AYFIN000000046954,0.11
AYFIN000000646954,0.11
AYFIN000000046955,1.48
BSDEU000947831692,5.36
BSDEU000947862458,2.2
AYDEU000121058731,2.66
AYFIN000011146336,0.15
BSDEU000947739285,3.9
JEGBR310471101505,1.52
AYSWE000000099678,1.56
AYSWE000000099680,0.89
AYDNK000000037471,2.09
BSFRA002937068980,2.51
AYFIN000000046978,1.14
AYDNK000000037472,1.5
BSFRA002937068987,2.51
AYNOR000000011592,0.05
HOFRA002927080195,6.58
BSDEU000947855352,4.2
HODNK000000256458,6.45
HOFRA004929379177,8.36
AYSWE000000099695,0.61
AYSWE000000099690,0.87
AYSWE000000099684,0.75
AYSWE000000099686,2.33
BSCHE120059737329,5.12
AYFIN000000046982,0.56
GUGBR021323100877,5.36
BSCHE120063008583,5.67
AYSWE000000099689,2.88
AYSWE000000099688,1.89
JENZL000000514016,1.22
BSDEU000947990298,4
AYNZL000000514573,0.79
HONZL000000114565,2.31
HONZL000000514670,1.47
HONZL000000114532,2.21
HONZL000000115718,2.82
BSDEU000948191716,3.89
BSDEU000948257403,3.18
JENZL000000514697,2.7
BSDEU000947860989,2.95
AYNZL000000514509,2.51
HONZL000000514806,2.94
JENZL000000514023,1.69
BSDEU000948087961,4.86
BSDEU000948539172,4.05
HONZL000000114524,2.41
AYFIN000000046984,1.22
HONZL000000114525,2.21
JENZL000000514059,1.45
AYNZL000000514508,2.51
AYNZL000000515629,2.06
HONZL000000514050,1.33
JENZL000000315811,4.18
BSDEU000947990301,3.27
HONZL000000514065,0.37
JENZL000000514701,3.28
JENZL000000514811,1.23
HOFRA007259911271,8.98
HONZL000000514015,1.78
HONLD000870245907,3
HONZL000000514024,5.21
AYFIN000000047044,0.6
BSDEU000948844321,3.54
BSAUT000923224622,3.19
BSAUT000989054122,3.69
HONZL000000514039,0.18
AYFIN000000047045,1
HONZL000000514684,2.22
AYFIN000000047046,1.75
HOCHE120106731997,6.98
HONZL000000114550,2.09
HONZL000000114939,1.84
HONZL000000114511,5.06
AYNOR000000011651,0.26
HOAUS000H01765412,4.99
HONZL000000114531,1.22
BSDEU000947860556,4.86
HONZL000000514079,1.22
AYNZL000000518570,0.2
BSDEU000948944826,5.25
AYFIN000000047050,0.64
HONZL000000114540,2.43
AYFIN000000047726,2.43
JEUSA000118828994,8.8
AYFIN000000047581,4.25
BSAUT000993370222,2.57
AYFIN000000047061,2.89
HONZL000000114570,2.71
BSDEU000949231441,2.74
AYFIN000000047062,2.52
HOISR000000007983,0.69
HOIRL281381571455,1.87
HONZL000000114522,2.97
HONZL000000515532,1.04
BSDEU000947587093,3.45
AYNZL000000514612,2.2
AYFIN000000047063,2.52
AYFIN000011485206,2.52
BSAUT000012379728,3.96
HONZL000000114105,2.3
AYSWE000000071480,1.63
HOIRL351257532299,4.8
BSAUT000849802922,3.28
AYNOR000000011626,0.46
HONLD000641092561,1.79
BSDEU000948940052,4.47
BSDEU000948940322,6.02
HOISR000000007963,3.44
BSDEU000948725038,4.97
AYNOR000000011657,2.51
HOFRA005646974603,8.11
AYFIN000000047093,1.81
BSFRA001213063173,5.55
BSDEU000947835920,5.02
BSAUT000911428722,5.38
AYSWE000000099730,0.74
BSAUT000486024622,4.7
BSDEU000948944837,6.56
AYDEU000121015473,0.6
BSDEU000948190804,4.18
BSAUT000727122722,4.09
AYFIN000000047096,2.45
JEAUS000A00021684,17
HOUSA000072064213,7.82
BSDEU000948190807,3.45
HOUSA000072064214,10.41
BSDEU000815491576,4.3
BSDEU000815542650,4.76
AYFIN000000047097,4.15
BSDEU000948540077,3.75
HOIRL351257512272,1.85
BSDEU000949070397,4.94
HOUSA000072064220,6.85
BSDEU000948089103,3.18
BSCHE120106939850,8.9
BSDEU000948535359,3.8
BSDEU000948015469,4.79
BSDEU000948844239,4.84
BSDEU000948711107,4.1
BSAUT000555167622,2.81
BSAUT000762234622,2.65
AYFIN000011348432,4.7
BSDEU000949125431,3.53
BSDEU000949048027,2.26
JEUSA000118872087,8.58
BSDEU000948729134,4.4
HOIRL211040510839,0
HOUSA000072064232,6.95
BSDEU000948868897,4.54
