reg_id,reg_name
HOBEL000119784595,DELTA BRILLIANT
WWNLD000429133972,BEUKENHOF 346 IDEAL
HODNK000000250354,DANSIRE SHTTLE SOL
HODEU000537611409,Guard
HODNK000000252791,VH Oman Oyvind
HOIRL151054030905,MORRISHEEN OJI FRANK
HONLD000940147494,MOLENKAMP BOLT
HO840003131668940,OCD SLV STORM PROOF-ET
HO840003010979663,NO-FLA ALTAPYRAMID-ET
HO840003009524999,NO-FLA RELEVANT 32798-ET
HOUSA000071852966,AARDEMA HARDCOPY
HO840003125201926,S-S-I PETY PHELPS-ET
HO840003125078468,NO-FLA ALTAHIFASHN-ET
HO840003125078950,NO-FLA BARCLAY
HOUSA000073590486,AARDEMA JANEIRO
HOUSA000073163134,NO-FLA ALTASHOCK
HOUSA000073590455,AARDEMA MESSIBOY
HO840003010607236,QUIET-BROOK-D LAWMEN-ET
HO840003013614193,QUIET-BROOK-D BRADY-ET
HO840003013614191,QUIET-BROOK-D BENNING-ET
HO840003013654522,WELCOME SEESAW-ET
HO840003125325340,WOODCREST KINGBY BUGATTI-ET
HO840003125325344,WOODCREST HNYBEE BENTLEY-ET
HO840003012560133,S-S-I MILES 7392 ROMULUS-ET
HO840003012130531,WOODCREST SSI WNKA BOWIE-ET
HO840003012130529,WOODCREST SSI MNT BOWEN-ET
HO840003147118670,FARNEAR NOBLE JOYNER-ET
HO840003125066315,WELCOME TROY CHASSY-ET
HO840003137839189,GENOSOURCE M-DUKE RINK-ET
HO840003131664081,PEAK ALTABOMBAST-ET
HO840003131664038,PEAK ACCELDECLARE-ET
HO840003131664037,PEAK ALTADEPOT-ET
HOUSA000073956655,MORNINGVIEW JEDI ZEB-ET
HOUSA000071703267,WELCOME MAGNUS WAGNER-ET
HO840003011639750,WELCOME MAURICE LODEN
HO840003011639717,WELCOME PREDEST WALTER-ET
HOUSA000071905925,END-ROAD DADDY MEAD MATT-ET
HOUSA000071852979,AARDEMA SS PRIMERO-ET
HOUSA000073590548,AARDEMA POINT BLANK
HOUSA000073138997,S-S-I MONTROSS DUSTOFF
HO840003011001325,S-S-I UNO ROADRUNNER-ET
HO840003132475249,MIDAS-TOUCH PILLSON-ET
HO840003131083932,MIDAS-TOUCH POLISHED-ET
HOUSA000074564800,PLAIN-KNOLL MONTREY MANDATE
HO840003145055369,BADGER SSI DEANO DANBO-ET
HO840003145055416,BADGER SSI FABIO BRAVAZO-ET
HO840003148279634,AARDEMA SUPERFLY-ET
HOAUS000H01332217,KAARMONA DON LOTTO-ET
HOAUS000H01409746,BUSHLEA PERFECTOR BOLD-ET
HOAUS000H01457890,ECLIPSE EUROSTAR
HOCAN000102327761,LA PRESENTATION SULLIVA-RED-ET
HOCAN000102327643,LA PRESENTATION PEACEAB-RED-ET
HOCAN000008852004,FREUREHAVEN ROEBUCK-ET
HOUSA000136761415,WARRENCREST MONKEY-RED-ET
HOCAN000007383068,BENNER BRONWIN
HOCAN000100769479,LYSTEL BLACKGOLD-ET
HOCAN000100457533,LESPERRON SUPREME-ET
HOCAN000007359429,ALTA CHEVRON-ET
HOCAN000007430961,ALTA CAREFREE-ET
HOCAN000007359212,ALTA AVIATOR-ET
HOCAN000007359296,ALTA AIDEN-ET
HOCAN000007359309,ALTA ADMIN-ET
HOCAN000007359394,ALTA AFFINITY-ET
HOCAN000007359410,ALTA ADRIATIC-ET
HOCAN000007359241,ALTA NITREX-ET
HOCAN000007359364,ALTA NITROFORM-ET
HOCAN000007430984,ALTA NEURONE-ET
HOCAN000007484416,ROCKYMOUNTAIN NIGHTSKY-ET
HOCAN000009501446,STANBRO MICHELIN
HOCAN000009501590,STANTONS POUNDER-TW
HOCAN000007832142,STANTONS ACHIEVER-ET
HOCAN000007832160,STANBRO SIGNATURE-ET
HOCAN000101760461,COMESTAR LABRADOR-ET
HOCAN000008875293,VYECROFT ALTAICEBERG
HOCAN000102915751,CHARPENTIER LAYMAN-ET
HOCAN000102327697,LA PRESENTATION DISPLAY-ET
HOCAN000007383012,BENNER JAYBEE-ET
HOCAN000007533555,ALTA WITNESS-ET
HOCAN000007359310,ALTA SLEUTH
HOCAN000007533523,ALTA AAA-ET
HOCAN000007533534,ALTA TREATY-ET
HOCAN000007533567,ALTA TRYON-ET
HOCAN000007533569,ALTA JEWEL-TW-ET
HOCAN000007533579,ALTA CREED-ET
HOCAN000007533580,ALTA TROPHY-ET
HOCAN000007533600,ALTA TREMOR-ET
HOCAN000007533642,ALTA CARVER-ET
HOCAN000007533636,ALTA ONE-ET
HOCAN000007890271,ALTA GOLDCOIN-ET
HOCAN000007890277,ALTA SWORD-ET
HOCAN000007533675,ALTA SHAKE UP-ET
HOCAN000100385055,CRACKHOLM STEALTH
HOCAN000007359332,ALTA CARMELLO
HOCAN000007533486,ALTA TARMAC-ET
HOCAN000007890274,ALTA SAMUARI-ET
HOCAN000007533509,ALTA COMISH-ET
HOCAN000007533511,ALTA DIVERSITY-ET
HOCAN000007533498,ALTA DIRECT-ET
HOCAN000007533494,ALTA DAKAR-ET
HOCAN000007533549,ALTA CAPRICE-ET
WWNLD000394422860,TALBOT-RED-ET
HOUSA000137039935,ARETHUSA MONTGOMERY-ET
HOUSA000137834240,ARETHUSA MIAMI-ET
HOUSA000136548933,ARETHUSA MANHATTAN-ET
HOCAN000007383011,BENNER JAZAM-ET
HOCAN000101731079,BOFRAN MAGIC-ET
HOCAN000009312099,B-Y-U-I EVIDENT-ET
HOCAN000100748971,COMESTAR LYVEN-ET
HOCAN000101431941,LA PRESENTATION GOSPEL-ET
HOCAN000101760447,COMESTAR LIVERPOOL
HOCAN000007677408,MAPEL WOOD DIAMOND-ET
HOCAN000007587981,GILLETTE ALTACSI-ET
HOUSA000135503517,APRIL-DAY WINERY-RED-ET
HOCAN000102484352,MICHERET HOUSTON-RED-ET
HOCAN000007681144,GLENGARRY MARIONS MANEUVER-TW
HOCAN000007677409,MAPEL WOOD DEVIN-ET
HOCAN000007533558,ALTA DEL-ET
HOCAN000007533561,ALTA DELMAR-ET
HOCAN000007890290,ALTA DION-ET
HOCAN000101530893,DESLACS SPHINX-ET
HOCAN000102545337,CHAMPS DOR REDROSS-RED
HOCAN000007533550,ALTA TRITON
HOCAN000007533623,ALTA MRLUCK-ET
HOCAN000007484361,DEELETT RMH COMMANDER-ET
HOCAN000007533475,ALTA FREEDOM
HOCAN000007533508,ALTA TRANCE
HOCAN000007816482,GILLETTE WARRIOR-ETS
HOCAN000101760606,COMESTAR LITALY-ET
HOCAN000007890285,ALTA AGILE-ET
HOCAN000007832140,STANTONS SATOR-ET
HOCAN000007611374,MORSAN ALTALOCKLYN-ET
HOCAN000007890284,ALTA DEVILLE-ET
HOCAN000007359260,ALTA NORTEL-ET
HOCAN000007359264,ALTA NORTHERN-ET
HOCAN000007359337,ALTA NITTO-ET
